,Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
3422,2005,Y2,"A. Gifford,Miller",Individual,8/27/2005 00:00:00,Staten Island,NY,,320,Petition Expenses,Petition Expns.
3423,2005,Y2,"A. Gifford,Miller",Individual,8/12/2005 00:00:00,Staten Island,NY,,180,Petition Expenses,Petition Expns.
3424,2005,Y2,"A. Gifford,Miller",Individual,8/19/2005 00:00:00,Staten Island,NY,,760,Campaign Workers Salaries,Campgn Wrkrs $$
3425,2005,Y2,"A. Gifford,Miller",Individual,8/19/2005 00:00:00,Staten Island,NY,,147,Campaign Workers Salaries,Campgn Wrkrs $$
3426,2005,Y2,"A. Gifford,Miller",Individual,8/12/2005 00:00:00,Staten Island,NY,,675,Petition Expenses,Petition Expns.
3427,2005,AY,"Fernando,Ferrer",Individual,6/4/2004 00:00:00,New York,NY,10029.0,575,Fundraising,Fundraising
3428,2005,605,"Michael,Bloomberg",Other,11/30/2005 00:00:00,Brooklyn,NY,11210.0,8128,Voter Registration,Regis. Mtl/Srvs.
3429,2005,AY,"Fernando,Ferrer",Individual,9/13/2005 00:00:00,Bronx,NY,10468.0,250,Campaign Workers Salaries,Campgn Wrkrs $$
3430,2005,605,"Michael,Bloomberg",Other,10/24/2005 00:00:00,New York,NY,10004.0,1000,Office Expenses,Office Expenses
3431,2005,605,"Michael,Bloomberg",Other,10/24/2005 00:00:00,New York,NY,10004.0,1000,Office Expenses,Office Expenses
3432,2005,605,"Michael,Bloomberg",Corporation,2/23/2005 00:00:00,New York,NY,10014.0,1034,Office Expenses,Office Expenses
3433,2005,605,"Michael,Bloomberg",Corporation,2/14/2005 00:00:00,New York,NY,10014.0,473,Office Expenses,Office Expenses
3434,2005,605,"Michael,Bloomberg",Corporation,2/14/2005 00:00:00,New York,NY,10014.0,339,Office Expenses,Office Expenses
3435,2005,605,"Michael,Bloomberg",Corporation,2/23/2005 00:00:00,New York,NY,10014.0,91,Office Expenses,Office Expenses
3436,2005,605,"Michael,Bloomberg",Corporation,2/23/2005 00:00:00,New York,NY,10014.0,387,Office Expenses,Office Expenses
3437,2005,605,"Michael,Bloomberg",Corporation,2/23/2005 00:00:00,New York,NY,10014.0,1434,Office Expenses,Office Expenses
3438,2005,605,"Michael,Bloomberg",Corporation,2/23/2005 00:00:00,New York,NY,10014.0,255,Office Expenses,Office Expenses
3439,2005,605,"Michael,Bloomberg",Corporation,4/11/2005 00:00:00,New York,NY,10014.0,353,Office Expenses,Office Expenses
3440,2005,605,"Michael,Bloomberg",Corporation,4/25/2005 00:00:00,New York,NY,10014.0,168,Office Expenses,Office Expenses
3441,2005,605,"Michael,Bloomberg",Corporation,4/25/2005 00:00:00,New York,NY,10014.0,847,Office Expenses,Office Expenses
3442,2005,605,"Michael,Bloomberg",Corporation,4/25/2005 00:00:00,New York,NY,10014.0,542,Office Expenses,Office Expenses
3443,2005,605,"Michael,Bloomberg",Corporation,4/25/2005 00:00:00,New York,NY,10014.0,283,Office Expenses,Office Expenses
3444,2005,605,"Michael,Bloomberg",Corporation,4/25/2005 00:00:00,New York,NY,10014.0,353,Office Expenses,Office Expenses
3445,2005,605,"Michael,Bloomberg",Corporation,4/25/2005 00:00:00,New York,NY,10014.0,316,Office Expenses,Office Expenses
3446,2005,605,"Michael,Bloomberg",Corporation,4/25/2005 00:00:00,New York,NY,10014.0,458,Office Expenses,Office Expenses
