Election,CandidateID,CandidateName,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose
2013,1796,"Jack,Hidary",Corporation,Chicago,IL,60654,67296,Television Ads,Television Ads.
2013,,"Anthony,Weiner",Individual,Baldwin,NY,11510,88.25,Advance Repayment,Advance Repaymnt
2013,,"Anthony,Weiner",Individual,Baldwin,NY,11510,88.25,Advance Repayment,Advance Repaymnt
2013,,"Anthony,Weiner",Individual,Baldwin,NY,11510,88.25,Advance Repayment,Advance Repaymnt
2013,,"Anthony,Weiner",Individual,Baldwin,NY,11510,17.6,Advance Repayment,Advance Repaymnt
2013,,"Anthony,Weiner",Individual,Baldwin,NY,11510,44.56,Advance Repayment,Advance Repaymnt
2013,,"Anthony,Weiner",Individual,Baldwin,NY,11510,20,Advance Repayment,Advance Repaymnt
2013,,"Anthony,Weiner",Individual,Baldwin,NY,11510,35,Advance Repayment,Advance Repaymnt
2013,,"John,Liu",Other,New York,NY,10019,323.37,Fundraising,Fundraising
2013,204,"Christine,Quinn",Corporation,New York,NY,10004,81.66,Fundraising,Fundraising
2013,204,"Christine,Quinn",Corporation,New York,NY,10004,277.64,Fundraising,Fundraising
2013,260,"William,Thompson, Jr.",Corporation,Philadelphia,PA,19103,27.68,Other,Other: explntion
2013,,"Anthony,Weiner",Corporation,New York,NY,10013,1798.21,Fundraising,Fundraising
2013,,"John,Liu",Corporation,New York,NY,10013,34.3,Office Expenses,Office Expenses
2013,1796,"Jack,Hidary",Individual,Brooklyn,NY,11238,286.6,Petition Expenses,Petition Expns.
2013,326,"Bill,de Blasio",Individual,Smithtown,NY,11787,79.5,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Individual,Smithtown,NY,11787,10,Advance Repayment,Advance Repaymnt
2013,260,"William,Thompson, Jr.",Individual,New York,NY,10019,431.94,Advance Repayment,Advance Repaymnt
2013,260,"William,Thompson, Jr.",Individual,Jackson Heights,NY,11372,919.39,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Jackson Heights,NY,11372,919.4,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Jackson Heights,NY,11372,637.47,Campaign Workers Salaries,Campgn Wrkrs $$
2013,,"John,Liu",Individual,New York,NY,10025,180,Office Expenses,Office Expenses
2013,,"John,Liu",Corporation,New York,NY,10001,341.05,Office Expenses,Office Expenses
2013,,"John,Liu",Corporation,Brooklyn,NY,11211,179.64,Office Expenses,Office Expenses
2013,1796,"Jack,Hidary",Limited Liability Company,New York,NY,10018,5000,Professional Services,Prof. Srvcs.
2013,1796,"Jack,Hidary",Limited Liability Company,New York,NY,10018,10000,Campaign Consultants,Campgn Consuls.
2013,1796,"Jack,Hidary",Limited Liability Company,New York,NY,10018,10000,Campaign Consultants,Campgn Consuls.
2013,1796,"Jack,Hidary",Limited Liability Company,New York,NY,10018,750,Campaign Consultants,Campgn Consuls.
2013,1796,"Jack,Hidary",Limited Liability Company,New York,NY,10018,6750,Campaign Consultants,Campgn Consuls.
2013,260,"William,Thompson, Jr.",Corporation,Whitestone,NY,11357,900,Printing Expenses,Print Ads
2013,,"Anthony,Weiner",Corporation,New York,NY,10036,300,Fundraising,Fundraising
