Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
2017,326,"Bill,de Blasio",Corporation,12/21/2017,Brooklyn,NY,11201,102,Office Expenses,Office Expenses
2017,326,"Bill,de Blasio",Corporation,12/21/2017,Brooklyn,NY,11201,2,Office Expenses,Office Expenses
2017,326,"Bill,de Blasio",Corporation,9/21/2016,Brooklyn,NY,11201,228,Office Expenses,Office Expenses
2017,326,"Bill,de Blasio",Corporation,3/21/2017,Brooklyn,NY,11201,241,Office Expenses,Office Expenses
2017,326,"Bill,de Blasio",Corporation,6/15/2017,Brooklyn,NY,11201,48,Postal Expenses,Postage
2017,2055,"Roque,De La Fuente",Corporation,6/20/2017,Brooklyn,NY,11219,251,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Individual,11/6/2017,Fresh Meadows,NY,11365,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/7/2017,Fresh Meadows,NY,11365,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/5/2017,Fresh Meadows,NY,11365,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/4/2017,Fresh Meadows,NY,11365,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/3/2017,Fresh Meadows,NY,11365,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,,Fresh Meadows,NY,11365,72,Advance Repayment,Advance Repaymnt
2017,2071,"Nicole,Malliotakis",Individual,11/7/2017,Bayside,NY,11361,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/6/2017,Bayside,NY,11361,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/5/2017,Bayside,NY,11361,125,Fundraising,Fundraising
2017,2055,"Roque,De La Fuente",Corporation,5/25/2017,New York,NY,10036,225,Postal Expenses,Postage
2017,2084,"Richard,Bashner",Other,7/17/2017,,,,154,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,7/17/2017,,,,12,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,7/31/2017,,,,141,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,7/31/2017,,,,17,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,7/31/2017,,,,9,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,7/31/2017,,,,1,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,8/14/2017,,,,174,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,8/14/2017,,,,2,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,8/28/2017,,,,160,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,8/28/2017,,,,1,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,9/11/2017,,,,141,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,9/25/2017,,,,141,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,6/19/2017,,,,127,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,6/19/2017,,,,9,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,7/3/2017,,,,11,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2084,"Richard,Bashner",Other,7/3/2017,,,,146,Campaign Workers Salaries,Campgn Wrkrs $$
2017,,"Sal,Albanese",Corporation,7/31/2017,New York,NY,10005,294,Postal Expenses,Postage
2017,326,"Bill,de Blasio",Corporation,11/3/2017,New York,NY,10007,294,Postal Expenses,Postage
2017,326,"Bill,de Blasio",Corporation,6/16/2016,,,,22,Postal Expenses,Postage
2017,326,"Bill,de Blasio",Corporation,3/30/2017,New York,NY,10007,49,Postal Expenses,Postage
2017,326,"Bill,de Blasio",Corporation,5/25/2017,New York,NY,10007,735,Postal Expenses,Postage
2017,2071,"Nicole,Malliotakis",Individual,11/3/2017,Brooklyn,NY,11224,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/4/2017,Brooklyn,NY,11224,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/5/2017,Brooklyn,NY,11224,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/6/2017,Brooklyn,NY,11224,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/7/2017,Brooklyn,NY,11224,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Corporation,10/10/2017,New York,NY,10010,179,Other,Other: explntion
2017,326,"Bill,de Blasio",Party Committee,10/20/2017,Brooklyn,NY,11216,750,Office Rent,Office Rent
2017,2051,"Collin,Slattery",Corporation,8/9/2017,,,,1,Other,Other: explntion
2017,2051,"Collin,Slattery",Corporation,4/11/2017,,,,11,Other,Other: explntion
2017,2051,"Collin,Slattery",Corporation,5/9/2017,,,,10,Other,Other: explntion
2017,2051,"Collin,Slattery",Corporation,3/1/2017,,,,1,Other,Other: explntion
2017,2051,"Collin,Slattery",Corporation,3/2/2017,,,,0,Other,Other: explntion
2017,2051,"Collin,Slattery",Corporation,6/9/2017,,,,3,Other,Other: explntion
2017,2051,"Collin,Slattery",Corporation,7/10/2017,,,,1,Other,Other: explntion
2017,2051,"Collin,Slattery",Corporation,7/11/2017,,,,7,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Individual,11/6/2017,Brooklyn,NY,11235,125,Fundraising,Fundraising
